Wahl;Wahlsprengel;Wahlberechtigte;abgegebene Stimmen;gültige Stimmen;SPÖ;FPÖ;ÖVP;GRÜNE;NEOS;KPÖ;LINZ;VOLT;WANDL;MFG;R
"GR21";"290";672;259;256;141;42;23;21;5;7;2;0;2;13;0
"GR21";"293";583;221;219;133;47;18;7;1;5;1;0;1;6;0
"GR21";"300";524;348;339;108;39;74;68;18;7;4;1;3;17;0
"GR21";"301";551;348;335;129;52;57;52;15;5;12;0;6;7;0
"GR21";"340";618;479;472;139;51;122;87;34;15;8;0;6;10;0
"GR21";"341";579;400;388;130;51;78;74;18;10;6;0;4;16;1
"GR21";"342";601;168;162;69;33;24;14;8;1;2;0;4;7;0
"GR21";"360";793;395;383;157;43;76;47;12;11;13;1;5;17;1
"GR21";"361";516;250;246;81;40;48;45;13;5;5;0;3;6;0
"GR21";"363";672;314;306;127;65;62;21;10;2;5;0;3;11;0
"GR21";"364";689;368;362;152;63;54;37;5;14;16;1;3;16;1
"GR21";"365";666;308;297;134;38;59;22;10;8;5;0;7;14;0
"GR21";"366";750;369;360;168;62;45;43;11;5;5;0;6;15;0
"GR21";"379";755;384;377;149;87;49;25;12;5;12;0;6;31;1
"GR21";"380";687;240;235;105;50;39;16;2;3;4;0;2;12;2
"GR21";"381";433;238;236;114;28;55;20;4;2;3;0;0;9;1
"GR21";"382";592;372;358;155;31;93;39;11;1;6;1;0;21;0
"GR21";"383";662;439;432;193;65;73;56;7;11;3;1;1;22;0
"GR21";"384";665;389;380;158;73;55;45;16;6;5;0;4;18;0
"GR21";"400";730;394;381;149;62;80;34;22;8;2;0;7;16;1
"GR21";"401";655;210;206;90;52;34;9;2;5;1;0;2;11;0
"GR21";"402";633;263;255;127;57;31;10;7;7;2;0;2;12;0
"GR21";"403";711;262;254;97;69;40;17;5;6;5;1;4;10;0
"GR21";"404";603;230;221;84;57;35;14;4;8;3;1;0;15;0
"GR21";"407";688;309;301;157;64;44;15;5;1;0;1;3;11;0
"GR21";"408";570;290;280;116;67;56;14;10;5;4;0;0;8;0
"GR21";"420";609;256;250;134;47;27;15;7;5;1;1;2;10;1
"GR21";"421";713;372;362;158;60;63;42;6;10;5;0;3;15;0
"GR21";"422";654;345;338;114;74;50;52;15;7;13;0;3;10;0
"GR21";"423";661;260;254;135;37;49;13;4;4;1;0;1;9;1
"GR21";"440";740;391;381;138;83;55;44;18;5;12;0;3;23;0
